date,product,quantity,revenue
2024-01-05,Notebook Pro,12,35988.00
2024-01-08,Mouse Sem Fio,45,4455.00
2024-01-12,Teclado Mecânico,23,8280.00
2024-01-15,Monitor 27",8,19192.00
2024-01-20,Webcam HD,31,6169.00
2024-02-03,Notebook Pro,18,53982.00
2024-02-07,Mouse Sem Fio,67,6633.00
2024-02-10,Teclado Mecânico,14,5040.00
2024-02-14,Monitor 27",11,26389.00
2024-02-19,Webcam HD,52,10348.00
2024-02-25,Headset Gamer,29,10149.00
2024-03-02,Notebook Pro,22,65978.00
2024-03-06,Mouse Sem Fio,89,8811.00
2024-03-11,Teclado Mecânico,35,12600.00
2024-03-15,Monitor 27",14,33586.00
2024-03-18,Webcam HD,41,8159.00
2024-03-22,Headset Gamer,38,13300.00
2024-03-28,SSD 1TB,27,10773.00
2024-04-04,Notebook Pro,9,26991.00
2024-04-09,Mouse Sem Fio,112,11088.00
2024-04-13,Teclado Mecânico,19,6840.00
2024-04-17,Monitor 27",6,14394.00
2024-04-22,Webcam HD,24,4776.00
2024-04-26,Headset Gamer,44,15400.00
2024-04-30,SSD 1TB,33,13167.00
